id,dia_0,dia_1,dia_2,dia_3,dia_4,miembros
310,89,64,91,60,11,3
311,59,8,96,72,13,2
312,43,73,5,1,38,2
313,17,37,12,95,1,5
314,39,4,40,57,95,3
315,45,17,38,32,36,4
316,53,52,44,2,80,5
317,25,88,74,52,63,3
318,49,4,82,73,32,4
319,10,75,37,68,81,5
320,7,20,31,88,19,5
321,1,95,53,40,54,5
322,82,53,57,14,46,4
323,48,17,55,41,15,4
324,33,54,75,55,95,3
325,1,3,20,35,4,2
326,26,31,96,22,38,4
327,46,14,80,35,31,4
328,10,66,53,97,6,3
329,19,41,1,24,74,3
330,82,94,93,4,10,3
331,17,1,57,45,19,4
332,10,38,82,75,14,2
333,23,59,1,3,81,6
334,22,33,55,95,90,4
335,68,1,47,30,11,3
336,89,1,80,38,50,4
337,24,1,18,90,26,4
338,74,95,53,35,46,4
339,45,1,29,22,82,6
340,1,13,31,67,60,4
341,58,31,45,50,12,3
342,54,74,28,64,44,5
343,89,88,33,67,4,3
344,23,30,1,24,10,7
345,66,45,33,96,60,4
346,1,24,94,4,88,3
347,59,11,60,1,3,4
348,1,5,10,94,52,5
349,19,1,88,36,59,3
350,96,74,24,27,41,8
351,27,74,35,46,2,7
352,93,67,55,89,1,4
353,25,4,94,1,80,2
354,87,27,54,43,1,5
355,53,85,60,45,2,5
356,33,51,1,17,31,4
357,25,18,55,4,66,5
358,11,1,88,93,59,3
359,90,4,61,17,30,5
360,55,99,10,32,7,4
361,87,34,58,1,96,4
362,81,61,68,40,9,3
363,12,53,1,73,96,2
364,99,21,45,24,12,3
365,4,53,33,51,54,2
366,3,93,46,19,89,8
367,17,53,48,26,11,2
368,26,93,1,59,40,6
369,45,1,72,38,46,3
370,13,93,25,18,74,8
371,26,33,93,20,18,2
372,96,98,25,73,75,6
373,61,9,2,41,66,5
374,75,88,23,10,5,2
375,6,12,77,40,1,3
376,26,80,41,36,52,5
377,82,11,1,5,60,3
378,25,18,47,53,11,3
379,4,12,66,65,16,6
380,73,82,99,69,87,5
381,27,46,15,87,12,7
382,48,17,43,89,94,5
383,12,1,40,69,4,4
384,3,73,10,6,24,4
385,29,87,59,96,2,6
386,66,15,96,59,94,8
387,39,4,88,1,38,7
388,32,45,80,18,30,4
389,54,94,1,36,6,4
390,40,1,5,60,21,4
391,75,53,40,32,31,6
392,60,47,31,16,96,4
393,36,5,1,27,95,2
394,11,28,24,4,10,4
395,8,18,1,19,81,7
396,75,2,72,47,24,3
397,52,46,76,26,94,2
398,37,17,1,56,23,7
399,5,31,19,39,89,2
400,3,47,80,64,24,2
401,52,4,32,1,73,4
402,25,4,63,24,75,4
403,17,74,68,73,36,4
404,48,49,88,1,57,7
405,54,87,24,31,45,3
406,3,5,45,12,11,2
407,68,10,18,13,6,2
408,21,5,81,18,49,4
409,81,5,3,67,12,4
410,81,17,33,2,27,3
411,1,74,83,52,17,6
412,25,45,89,1,54,5
413,80,17,62,94,28,8
414,26,8,59,77,45,4
415,24,1,13,5,79,5
416,96,75,38,41,31,4
417,10,74,47,71,34,3
418,32,96,1,42,33,4
419,26,94,25,17,75,5
420,60,3,11,1,99,2
421,87,69,47,43,68,3
422,24,17,45,27,83,6
423,74,53,1,32,31,4
424,4,66,3,82,38,2
425,30,10,24,33,88,4
426,33,36,59,19,61,6
427,24,42,12,1,88,3
428,40,46,88,38,17,8
429,2,94,28,32,88,4
430,66,5,25,96,48,7
431,12,15,37,1,26,7
432,45,26,28,88,40,4
433,1,61,11,45,24,3
434,18,62,50,2,96,6
435,1,31,80,24,37,2
436,11,33,18,12,1,4
437,38,64,1,54,13,5
438,25,1,38,46,67,3
439,1,18,6,3,75,6
440,39,96,74,47,94,5
441,33,11,47,8,61,4
442,29,60,5,73,89,7
443,14,89,1,30,54,3
444,26,31,11,33,60,4
445,74,59,56,21,58,3
446,27,29,25,22,62,4
447,19,94,21,14,9,4
448,82,26,19,99,12,2
449,18,1,96,10,23,3
450,60,22,38,48,80,2
451,33,1,50,18,59,3
452,87,18,86,26,33,4
453,33,51,3,62,1,5
454,11,17,46,38,1,3
455,1,3,73,46,87,4
456,94,26,27,59,7,5
457,70,51,18,12,34,3
458,46,96,13,1,48,6
459,66,33,1,22,11,4
460,30,59,18,33,65,4
461,27,4,91,20,38,2
462,80,58,1,27,81,6
463,18,33,71,66,38,5
464,46,1,43,96,19,5
465,46,1,15,16,59,4
466,36,38,20,3,27,4
467,3,24,7,33,20,2
468,54,42,8,60,87,4
469,93,25,85,88,76,6
470,17,89,82,38,53,2
471,38,12,26,73,1,4
472,1,59,14,74,73,4
473,56,21,74,45,94,3
474,22,28,2,80,50,5
475,33,18,1,10,15,5
476,54,56,86,33,7,3
477,60,87,96,32,25,4
478,5,24,7,56,20,5
479,34,94,65,40,74,2
480,1,78,40,95,58,3
481,13,72,18,42,66,5
482,30,68,23,37,26,2
483,78,89,59,40,41,5
484,26,87,19,46,10,4
485,30,3,31,40,73,5
486,11,17,1,60,19,8
487,26,21,71,65,56,3
488,40,7,13,5,1,4
489,16,1,55,38,52,3
490,28,32,13,6,1,3
491,73,81,67,16,9,7
492,95,87,8,59,44,3
493,16,7,40,97,11,3
494,95,33,18,34,27,4
495,56,68,61,1,40,5
496,3,56,42,13,25,4
497,16,10,80,63,3,6
498,45,71,18,23,21,4
499,46,80,60,15,10,2
500,27,30,19,46,1,5
501,21,15,53,3,59,5
502,56,4,21,9,6,2
503,22,91,6,32,61,5
504,1,81,33,75,38,8
505,16,10,30,18,9,2
506,38,17,1,42,10,7
507,47,13,73,16,22,7
508,35,39,53,50,18,2
509,37,25,32,36,6,5
510,82,53,57,1,46,2
511,43,1,46,85,26,5
512,58,4,71,17,78,4
513,64,59,57,1,14,3
514,3,52,26,45,40,3
515,14,3,7,80,19,4
516,17,42,79,81,94,6
517,60,61,1,47,68,3
518,24,18,19,16,53,4
519,24,25,9,54,11,6
520,4,5,45,48,75,3
521,66,68,61,1,45,2
522,32,1,3,61,38,2
523,4,5,51,7,81,4
524,74,1,46,52,12,4
525,19,45,24,98,48,4
526,59,68,74,19,11,4
527,16,39,1,50,82,4
528,68,15,100,7,31,5
529,25,87,47,41,54,5
530,61,52,75,12,33,7
531,45,61,75,2,95,3
532,4,47,75,56,5,5
533,26,74,17,21,24,3
534,14,26,81,95,83,2
535,12,72,4,42,32,7
536,91,1,29,4,11,2
537,23,53,96,1,46,5
538,83,26,12,19,40,5
539,9,59,19,25,49,2
540,31,14,41,4,47,3
541,60,40,86,32,59,5
542,22,53,21,46,98,4
543,53,17,5,3,1,3
544,12,17,16,7,56,5
545,81,79,24,73,95,5
546,80,51,4,42,33,4
547,60,1,33,5,20,7
548,88,89,22,12,85,6
549,1,44,37,19,10,3
550,73,5,1,24,47,2
551,3,19,50,1,32,4
552,35,43,94,46,58,2
553,45,3,35,60,59,2
554,53,11,47,12,51,3
555,10,1,73,60,38,4
556,26,98,33,31,46,6
557,94,16,39,2,68,7
558,18,20,3,94,41,6
559,47,26,4,1,21,7
560,18,25,46,55,41,2
561,20,5,67,31,1,3
562,89,27,11,1,51,5
563,47,74,76,52,68,3
564,82,45,54,20,48,6
565,91,43,66,1,12,4
566,45,11,39,25,82,2
567,1,96,7,76,44,5
568,80,24,95,53,2,7
569,25,31,10,45,19,6
570,11,16,4,43,47,3
571,98,60,19,24,20,4
572,62,97,33,13,81,4
573,19,77,89,11,2,4
574,88,1,31,63,94,5
575,94,10,31,44,38,2
576,81,3,75,68,25,3
577,31,88,18,40,6,4
578,18,1,10,89,17,4
579,11,77,32,47,53,7
580,49,17,32,61,47,8
581,42,71,12,87,45,4
582,20,15,25,12,39,2
583,1,35,23,2,79,7
584,87,19,4,77,75,3
585,3,4,26,14,33,4
586,67,78,39,26,23,4
587,40,8,39,63,37,4
588,51,47,1,26,34,3
589,82,47,31,74,93,4
590,5,67,90,11,97,5
591,55,94,82,56,49,4
592,40,5,14,96,27,5
593,23,96,1,4,89,5
594,1,61,95,54,32,7
595,19,10,34,30,54,2
596,88,82,33,45,29,4
597,81,1,9,16,73,5
598,47,3,18,74,59,2
599,43,11,16,31,3,3
600,15,3,29,1,37,4
601,2,68,96,95,20,6
602,12,5,81,1,34,4
603,1,58,87,98,12,7
604,15,59,33,43,14,5
605,12,87,39,10,80,3
606,12,81,5,66,76,3
607,81,51,95,56,17,3
608,94,81,88,96,4,5
609,94,18,91,66,23,5
610,1,51,82,47,29,2
611,57,73,9,27,45,4
612,1,10,32,18,90,4
613,96,88,25,43,26,7
614,61,25,53,75,28,4
615,58,17,48,1,71,4
616,44,60,19,24,96,4
617,80,4,8,1,18,6
618,2,1,52,47,46,4
619,42,19,95,56,29,3
620,52,26,40,79,2,7
621,1,95,12,24,40,4
622,99,15,81,19,1,4
623,75,19,6,26,88,3
624,1,78,47,26,80,5
625,1,47,19,51,77,5
626,33,31,96,28,89,4
627,3,24,40,81,11,5
628,1,23,83,10,53,6
629,62,9,6,24,3,3
630,95,18,15,45,59,7
631,10,75,17,31,5,3
632,33,66,29,11,26,4
633,10,51,94,26,1,7
634,24,11,17,16,95,3
635,30,84,47,73,46,5
636,80,21,1,39,4,8
637,40,19,12,13,27,3
638,26,16,6,46,1,3
639,30,60,1,12,73,4
640,43,78,25,37,22,3
641,81,52,38,61,28,4
642,73,39,31,29,3,7
643,12,26,74,32,2,4
644,19,1,81,18,59,2
645,10,50,19,26,98,2
646,48,54,13,81,15,6
647,57,16,69,24,96,5
648,38,48,32,5,67,7
649,65,71,52,81,23,5
650,47,9,2,81,1,3
651,46,17,47,68,32,5
652,16,59,14,94,1,4
653,95,1,88,92,33,4
654,10,88,17,59,2,6
655,73,96,4,32,13,4
656,68,7,74,3,46,3
657,48,80,45,23,17,4
658,35,27,81,22,68,2
659,69,91,31,11,68,3
660,54,38,23,58,10,8
661,31,80,17,45,66,7
662,1,18,75,59,46,3
663,6,64,20,87,54,3
664,24,18,10,1,2,4
665,60,34,1,96,6,3
666,48,17,30,5,96,4
667,81,17,52,33,64,2
668,10,61,38,52,34,4
669,61,7,54,10,87,2
670,18,5,50,33,52,4
671,67,17,44,48,42,4
672,44,84,82,46,54,3
673,17,87,38,52,6,4
674,76,26,53,29,89,4
675,61,2,10,64,95,5
676,4,1,88,45,53,4
677,95,1,88,16,14,4
678,32,28,54,26,40,4
679,23,54,1,33,81,5
680,27,32,45,67,82,6
681,61,59,60,10,24,4
682,15,5,63,47,21,4
683,40,4,36,10,68,3
684,26,41,3,5,93,3
685,46,34,82,33,53,3
686,18,33,53,83,4,7
687,1,51,58,33,44,6
688,88,12,74,10,51,3
689,67,68,88,37,1,6
690,38,32,6,48,75,5
691,8,33,54,83,95,2
692,13,5,38,35,19,8
693,8,27,73,74,59,5
694,96,59,56,70,89,2
695,8,68,63,14,81,4
696,46,11,69,96,67,4
697,85,66,59,9,68,4
698,10,68,53,52,32,3
699,35,31,41,11,99,3
700,14,10,54,33,56,7
701,8,74,70,67,53,3
702,7,89,4,76,24,4
703,66,56,31,25,81,3
704,60,1,12,17,45,4
705,14,87,10,12,75,4
706,95,24,18,68,60,3
707,18,16,99,48,87,2
708,46,17,74,6,1,7
709,39,98,26,54,38,4
710,39,32,4,86,98,2
711,14,60,4,25,54,7
712,1,36,21,7,60,4
713,25,66,53,84,28,5
714,10,38,66,60,55,3
715,33,58,49,88,96,7
716,49,68,96,1,32,6
717,66,17,7,58,24,7
718,31,3,25,88,24,5
719,1,32,73,89,36,7
720,53,8,60,84,22,4
721,45,24,34,36,35,2
722,19,47,1,59,49,3
723,92,14,47,75,4,5
724,81,95,57,31,6,5
725,69,1,9,11,17,5
726,18,49,38,16,14,2
727,3,42,98,43,1,3
728,10,6,94,76,80,7
729,32,5,94,15,1,6
730,17,1,40,20,11,2
731,68,80,1,73,25,3
732,10,92,31,12,81,4
733,1,50,60,48,26,4
734,8,56,38,73,26,5
735,17,74,67,22,21,4
736,80,79,92,26,20,4
737,12,68,87,3,28,5
738,87,50,86,5,74,6
739,65,54,68,48,25,2
740,1,61,31,3,24,3
741,81,14,45,46,68,3
742,99,37,1,81,15,4
743,11,65,40,24,45,2
744,41,54,32,28,16,2
745,25,1,3,8,87,5
746,60,46,6,32,68,2
747,25,39,26,36,11,2
748,46,80,44,3,19,4
749,65,5,8,19,48,2
750,96,39,1,55,44,4
751,54,18,95,82,60,8
752,4,26,36,66,96,5
753,30,90,60,21,31,3
754,36,4,33,1,43,6
755,12,54,3,73,46,7
756,4,61,25,46,68,3
757,73,26,68,13,24,2
758,22,19,40,1,45,7
759,97,10,5,71,4,3
760,23,1,22,75,18,5
761,48,67,82,38,71,3
762,87,94,18,76,34,4
763,17,47,1,79,40,2
764,4,46,11,1,24,6
765,32,89,67,18,56,4
766,16,54,81,23,96,3
767,82,75,26,19,94,3
768,87,92,95,46,60,5
769,94,44,66,31,1,4
770,25,28,66,7,20,2
771,45,91,9,55,81,5
772,12,59,53,96,39,4
773,2,40,47,68,96,2
774,26,6,88,59,1,4
775,99,73,10,70,96,2
776,1,74,84,54,39,4
777,46,1,94,26,58,2
778,3,18,17,32,53,4
779,67,7,38,53,40,4
780,77,96,60,17,9,4
781,9,42,38,19,74,4
782,67,50,6,15,40,2
783,52,1,96,3,27,2
784,75,1,80,11,15,3
785,73,56,19,38,11,8
786,96,33,14,31,20,3
787,6,81,87,85,33,7
788,19,15,95,43,58,4
789,1,52,31,66,17,5
790,59,52,22,33,87,4
791,5,3,17,30,59,3
792,88,75,1,95,47,2
793,100,26,12,1,5,6
794,32,17,8,19,80,3
795,1,30,13,9,6,4
796,81,4,49,5,21,4
797,1,3,77,34,95,2
798,45,35,25,20,3,5
799,3,68,9,23,28,8
800,57,25,54,10,33,5
801,17,5,87,4,1,4
802,1,3,13,66,40,4
803,19,24,2,60,8,4
804,57,52,12,15,82,5
805,1,11,38,66,26,4
806,49,25,75,53,48,8
807,31,72,40,4,17,4
808,52,40,5,1,90,3
809,2,89,1,12,42,2
810,69,46,1,3,25,3
811,75,94,14,52,1,3
812,95,68,40,18,25,5
813,53,17,78,13,29,4
814,27,59,47,80,26,4
815,1,88,11,32,3,2
816,54,14,22,52,1,4
817,53,74,89,4,7,4
818,4,1,47,56,10,5
819,32,38,61,68,37,8
820,33,90,54,9,71,2
821,36,18,45,46,39,6
822,34,31,68,82,24,7
823,35,39,2,68,97,3
824,60,8,61,25,16,8
825,89,29,52,39,1,5
826,28,32,1,95,19,3
827,5,71,82,12,60,4
828,80,73,88,67,17,4
829,70,15,26,33,61,3
830,36,12,61,53,51,4
831,8,28,54,12,48,6
832,41,96,9,88,1,3
833,1,46,25,19,82,2
834,56,5,87,23,3,3
835,17,8,1,47,33,3
836,31,1,13,5,39,5
837,87,73,1,45,3,5
838,94,68,24,59,3,5
839,12,66,29,68,1,4
840,24,25,61,3,16,5
841,10,92,39,6,66,5
842,69,1,82,58,45,3
843,88,14,60,82,90,5
844,81,69,40,60,50,4
845,5,10,60,96,39,5
846,47,76,40,59,100,7
847,95,1,68,74,9,7
848,39,42,41,82,1,4
849,50,5,12,45,34,5
850,19,95,57,53,68,2
851,13,1,75,25,47,3
852,31,82,23,89,5,4
853,55,34,73,65,31,4
854,14,25,66,35,60,2
855,51,60,6,87,94,4
856,12,70,13,1,60,4
857,11,95,28,26,24,6
858,1,60,19,75,74,2
859,24,9,40,25,3,5
860,55,27,67,75,17,6
861,57,81,44,19,94,5
862,1,59,12,85,51,2
863,82,1,73,53,39,6
864,4,9,91,17,20,2
865,19,1,8,24,42,5
866,24,38,68,48,87,4
867,3,67,1,68,61,4
868,33,52,11,81,17,6
869,11,45,15,52,54,3
870,53,57,40,14,27,8
871,94,89,16,100,33,6
872,11,81,54,75,18,4
873,5,1,2,54,32,8
874,23,60,48,4,1,8
875,82,96,5,22,3,4
876,5,97,13,2,1,5
877,49,63,11,3,19,5
878,4,40,11,47,38,8
879,65,73,67,1,5,3
880,53,40,94,59,75,5
881,41,20,30,12,32,2
882,47,77,67,96,74,3
883,1,82,74,17,10,4
884,33,1,12,42,18,4
885,6,33,4,1,8,3
886,81,12,75,89,25,3
887,83,87,88,39,23,2
888,25,30,1,16,42,3
889,99,60,51,18,29,3
890,65,4,19,54,46,6
891,1,95,18,52,32,4
892,1,17,12,31,62,4
893,63,33,1,10,39,6
894,78,10,23,11,57,2
895,11,33,44,12,56,5
896,29,11,34,14,4,8
897,1,67,52,13,84,4
898,26,1,25,73,40,4
899,81,67,11,82,12,4
900,73,67,14,20,19,2
901,7,5,25,88,39,5
902,33,47,27,19,74,3
903,19,66,16,73,31,6
904,24,47,46,82,45,4
905,5,41,81,89,80,2
906,73,94,68,4,40,3
907,34,19,52,10,2,5
908,95,90,63,11,3,4
909,52,36,16,31,33,4
910,46,57,50,47,5,3
911,10,18,32,54,38,5
912,68,74,87,67,1,6
913,1,59,45,3,18,5
914,94,1,60,75,15,6
915,1,55,33,68,90,4
916,81,1,66,33,5,7
917,60,31,4,46,8,4
918,1,11,26,51,82,4
919,68,99,36,16,39,3
920,26,35,5,20,78,3
921,31,1,20,54,32,2
922,95,6,26,1,89,4
923,96,51,17,67,1,6
924,43,67,89,48,1,3
925,71,74,26,59,47,3
926,33,18,53,73,59,6
927,1,74,59,54,73,4
928,40,86,3,68,26,3
929,18,69,64,38,15,3
930,2,22,95,46,1,4
931,35,5,40,96,10,2
932,12,4,11,95,80,2
933,1,73,26,10,84,6
934,38,68,80,3,43,2
935,26,8,88,16,67,3
936,31,59,5,63,71,3
937,27,3,22,57,40,4
938,46,88,10,53,83,6
939,45,37,1,3,38,8
940,31,74,73,47,87,5
941,23,90,15,77,76,4
942,57,25,61,6,82,3
943,82,38,87,26,61,6
944,87,18,25,46,38,4
945,74,22,95,1,55,7
946,54,3,72,14,4,5
947,28,80,95,88,75,6
948,38,53,84,11,1,6
949,1,86,75,82,6,5
950,20,52,27,79,46,6
951,88,8,45,3,1,3
952,54,11,39,13,18,6
953,46,74,26,54,32,3
954,80,1,55,10,6,5
955,63,89,73,12,21,4
956,66,16,10,24,38,5
957,16,35,24,42,17,4
958,24,54,39,61,10,8
959,42,87,61,88,44,5
960,50,13,66,41,58,4
961,53,58,88,90,25,6
962,44,5,38,66,47,5
963,33,47,30,82,40,2
964,1,75,17,73,52,2
965,61,45,82,83,10,5
966,59,60,6,47,17,5
967,40,80,88,63,23,5
968,2,19,68,7,46,5
969,1,75,86,15,3,4
970,97,24,34,4,96,3
971,5,13,3,17,30,6
972,90,18,17,33,12,5
973,82,25,60,87,22,2
974,44,24,60,1,17,4
975,1,61,59,82,22,3
976,18,81,41,89,95,4
977,54,7,61,73,25,3
978,59,25,10,68,87,4
979,4,1,19,10,94,4
980,38,18,47,75,17,4
981,12,24,75,1,33,5
982,1,14,17,82,19,3
983,96,4,5,94,1,2
984,2,66,40,94,10,5
985,44,67,27,93,71,3
986,82,76,39,78,1,7
987,87,41,57,22,75,4
988,11,86,53,40,26,2
989,1,62,97,95,19,2
990,50,29,26,31,71,5
991,75,20,23,82,69,5
992,54,67,28,32,13,5
993,46,18,24,61,38,5
994,39,25,4,17,74,3
